id,name,short_name,category,count,total_ms,avg_us,min_us,max_us
40,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>),ncclDevKernel_SendRecv,nccl_sync,18,1852.614827,102923.04594444444,7.616,722781.759
36,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ64Kv128PersistentKeepsAbForGen,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ64Kv128PersistentKeepsAbForGen,attention,78,258.651099,3316.039730769231,2914.612,3570.937
46,bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f,bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f,gemm_moe,75,158.833076,2117.7743466666666,1743.722,2242.411
37,nvjet_sm103_tst_256x256_64x4_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_256x256_64x4_2x2_2cta_h_bz_TNT,gemm_moe,81,156.534526,1932.5250123456792,1375.72,2078.218
21,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,gemm_moe,327,121.633118,371.96672171253823,152.865,618.692
47,bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f,bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f,gemm_moe,75,69.323198,924.3093066666667,698.148,968.996
34,"void flashinfer::RopeQuantizeKernel<(bool)1, (unsigned int)16, (unsigned int)1, __nv_bfloat16, long, __nv_fp8_e4m3>(T4 *, T4 *, T4 *, T4 *, T6 *, T6 *, T6 *, T6 *, float *, T5 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)",RopeQuantizeKernel,norm_rope_quant,78,32.75232,419.90153846153845,392.642,435.33
33,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,gemm_moe,81,29.068752,358.87348148148146,238.146,2684.559
18,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,gemm_moe,78,23.836464,305.59569230769233,275.266,318.306
48,"void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)",finalizeKernelVecLoad,moe_routing,75,21.743938,289.91917333333333,268.737,342.401
38,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0,norm_rope_quant,156,19.345318,124.00844871794872,118.816,139.936
32,"<unnamed>::topk_transform_prefill_kernel(<unnamed>::FastTopKParams, int *, const int *, long, const int *, long)",topk_transform_prefill_kernel,moe_routing,21,17.28599,823.1423809523809,594.915,950.116
31,"void deep_gemm::sm100_fp8_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)147, (unsigned int)128, (unsigned int)256, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",sm100_fp8_mqa_logits,attention,16,9.192023,574.5014375,511.427,624.515
49,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)",vectorized_elementwise_kernel,memory_elementwise,75,6.910021,92.13361333333333,89.089,93.664
25,"void <unnamed>::fast_hadamard_transform_kernel<<unnamed>::FastHadamardKernelTraits<(int)16, (int)7, __nv_bfloat16>>(HadamardParamsBase)",fast_hadamard_transform_kernel,other,42,6.425412,152.986,10.144,309.442
42,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000o966411121_0,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000o966411121_0,gemm_moe,75,4.714133,62.855106666666664,48.801,69.152
39,"void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)",act_and_mul_kernel,memory_elementwise,78,3.720657,47.700730769230766,36.64,195.65
