ordinal,start_ms,duration_ms,end_ms,stage,layer_id,category,short_name,kernel
1,7.966107,0.006144,7.972251,outside_pp2,,support,alloc_extend_kernel,alloc_extend_kernel
2,8.173917,0.010688,8.184605,outside_pp2,,support,write_req_to_token_pool_triton,write_req_to_token_pool_triton
3,76.933955,242.985658,319.919613,outside_pp2,,communication,NCCL SendRecv residency,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
4,319.924413,0.361091,320.285504,outside_pp2,,communication,NCCL SendRecv residency,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
5,320.309569,0.003712,320.313281,outside_pp2,,support,compute_position_kernel,compute_position_kernel
6,320.315393,0.006144,320.321537,outside_pp2,,support,void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorLi…,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::UnaryOpFunctor<long, (int)2, (int)1, (int)1>, at::native::Copy<long, long>>(T1, T2, T3...)"
7,320.323617,0.00144,320.325057,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_…","void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
8,320.327649,0.0016,320.329249,outside_pp2,,support,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::…,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
9,320.332033,0.001408,320.333441,outside_pp2,,support,void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::Sca…,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>>(T1, int)"
10,320.336161,0.002112,320.338273,outside_pp2,,support,void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail:…,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<int, int, int, unsigned int, std::plus<int>>::Policy1000, const int *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, std::plus<int>, at_cuda_detail::cub::NullType, unsigned int, int, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
11,320.340257,0.00144,320.341697,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, …","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
12,320.348161,0.007616,320.355777,outside_pp2,,support,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_inde…","void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
13,320.358401,0.001376,320.359777,outside_pp2,,support,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const …","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
14,320.366561,0.001312,320.367873,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, …","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
15,320.370977,0.001472,320.372449,outside_pp2,,support,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const …","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
16,320.375073,0.0016,320.376673,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<in…","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
17,320.379169,0.001472,320.380641,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, …","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
18,320.395265,0.00176,320.397025,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_…","void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
19,320.399329,0.00096,320.400289,outside_pp2,,support,void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::Sca…,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>>(T1, int)"
20,320.401697,0.003008,320.404705,outside_pp2,,support,void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail:…,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<int, int, int, unsigned int, std::plus<int>>::Policy1000, const int *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, std::plus<int>, at_cuda_detail::cub::NullType, unsigned int, int, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
21,320.407841,0.00144,320.409281,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, …","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
22,320.416033,0.001344,320.417377,outside_pp2,,support,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const …","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
23,320.419841,0.001728,320.421569,outside_pp2,,support,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::…,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
24,320.423937,0.002592,320.426529,outside_pp2,,support,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_inde…","void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
25,320.428033,0.001793,320.429826,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int,…","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int, int) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
26,320.432098,0.001024,320.433122,outside_pp2,,support,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>…","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
27,320.433442,0.11968,320.553122,attention_and_selector,18,norm_routing,Fused add + RMSNorm,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0
28,320.553314,0.053057,320.606371,attention_and_selector,18,quant_activation,Per-token group FP8 quantization,"void <unnamed>::per_token_group_quant_8bit_v2_kernel<<unnamed>::NaiveScheduler, (int)128, (int)8, __nv_bfloat16, __nv_fp8_e4m3, (bool)1, (bool)1, (bool)0, (bool)1, unsigned int>(const T4 *, T5 *, T10 *, const int *, int, int, int, int, int)"
