rank,implementation_provider,launches,summed_residency_ms
0,other,1146,11.256278
0,nccl,3,8.659296
0,deepgemm,453,4.18784
0,flashinfer_trtllm,567,3.12403
0,memory_control,491,1.417024
0,nvjet,253,1.16384
0,cutlass,150,0.717568
0,cublaslt,96,0.217312
0,triton,43,0.069151
1,nccl,3,15.900736
1,other,1146,11.188377
1,deepgemm,453,4.283872
1,flashinfer_trtllm,567,3.325471
1,memory_control,491,1.399316
1,nvjet,253,1.156032
1,cutlass,150,0.682304
1,cublaslt,96,0.214144
1,triton,43,0.067392
2,nccl,3,17.940416
2,other,1146,11.007428
2,deepgemm,453,3.947744
2,flashinfer_trtllm,567,2.979486
2,memory_control,491,1.430373
2,nvjet,253,1.16368
2,cutlass,150,0.832768
2,cublaslt,96,0.234624
2,triton,43,0.068381
3,nccl,3,15.865568
3,other,1146,11.050665
3,deepgemm,453,4.008
3,flashinfer_trtllm,567,3.078654
3,memory_control,491,1.429324
3,nvjet,253,1.160672
3,cutlass,150,0.784672
3,cublaslt,96,0.23552
3,triton,43,0.067968
4,other,1146,11.001925
4,nccl,3,8.964512
4,deepgemm,453,4.13264
4,flashinfer_trtllm,567,3.226846
4,memory_control,491,1.377343
4,nvjet,253,1.14992
4,cutlass,150,0.665344
4,cublaslt,96,0.223744
4,triton,43,0.063744
5,other,1146,11.181655
5,nccl,3,9.060352
5,deepgemm,453,4.260384
5,flashinfer_trtllm,567,3.247357
5,memory_control,491,1.405474
5,nvjet,253,1.156672
5,cutlass,150,0.668
5,cublaslt,96,0.2152
5,triton,43,0.066784
6,other,1146,11.113401
6,nccl,3,9.872416
6,deepgemm,453,4.279104
6,flashinfer_trtllm,567,3.225149
6,memory_control,491,1.398735
6,nvjet,253,1.163104
6,cutlass,150,0.676448
6,cublaslt,96,0.217664
6,triton,43,0.067136
7,other,1146,11.09372
7,deepgemm,453,4.288096
7,flashinfer_trtllm,567,3.113056
7,memory_control,491,1.412629
7,nvjet,253,1.168448
7,cutlass,150,0.68272
7,cublaslt,96,0.215872
7,nccl,3,0.129344
7,triton,43,0.06464
