batch_size,sample_ordinal,elapsed_ms
1,0,583.110814
1,1,581.363606
1,2,555.820554
1,3,578.853691
1,4,579.583153
1,5,560.705253
1,6,575.110637
1,7,553.50955
1,8,580.730406
1,9,605.338115
1,10,573.716656
1,11,639.221234
10,0,603.358108
10,1,587.929092
10,2,589.680758
10,3,600.499603
10,4,631.632633
10,5,630.056382
10,6,611.018773
100,0,1045.246695
100,1,1051.363477
100,2,1084.333504
100,3,1071.079925
100,4,1012.399312
100,5,1042.552096
100,6,1137.264935
100,7,1012.881385
100,8,1062.306633
200,0,7765.328811
200,1,7355.596965
200,2,8513.175209
200,3,7656.760338
200,4,8381.701124
500,0,20044.824252
500,1,19340.907832
500,2,19011.077387
500,3,18626.818829
500,4,20719.251295
