view_id,display_label,batch_size,family,label,launches,residency_ms,share_pct,cleanup_residency_ms
native_b1,B=1,1,nccl_sync,NCCL synchronization,8,0.13363,0.1083,0.0
native_b1,B=1,1,attention_indexer,DSA indexer,504,3.038141,2.4633,0.0
native_b1,B=1,1,attention_mla,MLA attention,5168,27.949285,22.6614,0.0
native_b1,B=1,1,attention_projection,Attention projections,2024,8.338586,6.761,0.0
native_b1,B=1,1,gemm_other,Other GEMM,6912,41.959508,34.0209,0.0
native_b1,B=1,1,moe_routing,MoE routing,3000,11.484478,9.3117,0.0
native_b1,B=1,1,norm_rope_quant,"Norm, RoPE, and quantization",1584,2.326941,1.8867,0.0
native_b1,B=1,1,memory_elementwise,Memory and elementwise,5064,21.246955,17.2271,0.0
native_b1,B=1,1,other,Other,3088,6.856889,5.5596,0.0
native_b10,B=10,10,nccl_sync,NCCL synchronization,8,0.22352,0.1377,0.0
native_b10,B=10,10,attention_indexer,DSA indexer,504,3.348157,2.0622,0.0
native_b10,B=10,10,attention_mla,MLA attention,5168,34.460939,21.2248,0.0
native_b10,B=10,10,attention_projection,Attention projections,2024,8.629821,5.3152,0.0
native_b10,B=10,10,gemm_other,Other GEMM,6912,62.312808,38.379,0.0
native_b10,B=10,10,moe_routing,MoE routing,3000,12.644919,7.7881,0.0
native_b10,B=10,10,norm_rope_quant,"Norm, RoPE, and quantization",1584,2.448124,1.5078,0.0
native_b10,B=10,10,memory_elementwise,Memory and elementwise,6320,30.980209,19.081,0.0
native_b10,B=10,10,other,Other,3080,7.313367,4.5044,0.0
native_b100,B=100,100,nccl_sync,NCCL synchronization,8,0.913439,0.2254,0.0
native_b100,B=100,100,attention_indexer,DSA indexer,504,5.913272,1.4593,0.0
native_b100,B=100,100,attention_mla,MLA attention,5168,162.963818,40.218,0.0
native_b100,B=100,100,attention_projection,Attention projections,2024,10.005112,2.4692,0.0
native_b100,B=100,100,gemm_other,Other GEMM,6912,156.917082,38.7257,0.0
native_b100,B=100,100,moe_routing,MoE routing,3600,16.420499,4.0524,0.0
native_b100,B=100,100,norm_rope_quant,"Norm, RoPE, and quantization",1584,2.778048,0.6856,0.0
native_b100,B=100,100,memory_elementwise,Memory and elementwise,5720,41.249376,10.18,0.0
native_b100,B=100,100,other,Other,3080,8.04034,1.9843,0.0
native_b200,B=200,200,nccl_sync,NCCL synchronization,8,1.493569,0.3764,0.0
native_b200,B=200,200,attention_indexer,DSA indexer,504,2.641695,0.6657,0.0
native_b200,B=200,200,attention_mla,MLA attention,5168,198.631699,50.0563,0.0
native_b200,B=200,200,attention_projection,Attention projections,2024,10.633304,2.6797,0.0
native_b200,B=200,200,gemm_other,Other GEMM,6912,108.25203,27.2801,0.0
native_b200,B=200,200,moe_routing,MoE routing,3600,18.670591,4.7051,0.0
native_b200,B=200,200,norm_rope_quant,"Norm, RoPE, and quantization",1584,2.941982,0.7414,0.0
native_b200,B=200,200,memory_elementwise,Memory and elementwise,5720,45.361613,11.4314,0.0
native_b200,B=200,200,other,Other,3080,8.189797,2.0639,0.0
native_b500,B=500,500,nccl_sync,NCCL synchronization,8,3.417824,0.5398,0.0
native_b500,B=500,500,attention_indexer,DSA indexer,504,5.061214,0.7994,0.0
native_b500,B=500,500,attention_mla,MLA attention,5168,337.230206,53.2619,0.0
native_b500,B=500,500,attention_projection,Attention projections,2024,13.142812,2.0758,0.0
native_b500,B=500,500,gemm_other,Other GEMM,6912,173.777549,27.4463,0.0
native_b500,B=500,500,moe_routing,MoE routing,3600,29.091596,4.5947,0.0
native_b500,B=500,500,norm_rope_quant,"Norm, RoPE, and quantization",1584,3.913409,0.6181,0.0
native_b500,B=500,500,memory_elementwise,Memory and elementwise,5720,57.816344,9.1315,0.0
native_b500,B=500,500,other,Other,3080,9.703737,1.5326,0.0
b100_dp8_ep8,B=100 (DP&EP),100,nccl_sync,NCCL synchronization,168,284.455372,31.277046,
b100_dp8_ep8,B=100 (DP&EP),100,gemm_other,"GEMM, other",22536,178.408628,19.616767,
b100_dp8_ep8,B=100 (DP&EP),100,deepep_exchange,DeepEP exchange,7200,116.379561,12.796414,
b100_dp8_ep8,B=100 (DP&EP),100,moe_up_gemm,MoE gate / up GEMM,1800,86.611574,9.523301,
b100_dp8_ep8,B=100 (DP&EP),100,attention_mla,MLA attention,15504,79.122467,8.699843,
b100_dp8_ep8,B=100 (DP&EP),100,moe_down_gemm,MoE down GEMM,1800,53.290263,5.859485,
b100_dp8_ep8,B=100 (DP&EP),100,attention_projection,Attention projections,6072,39.498713,4.343047,
b100_dp8_ep8,B=100 (DP&EP),100,memory_elementwise,Memory and elementwise,11643,24.703359,2.716237,
b100_dp8_ep8,B=100 (DP&EP),100,norm_rope_quant,"Norm, RoPE, and quantization",6552,21.250636,2.336595,
b100_dp8_ep8,B=100 (DP&EP),100,moe_routing,MoE routing,3600,14.234047,1.565092,
b100_dp8_ep8,B=100 (DP&EP),100,attention_indexer,DSA indexer,1512,8.785927,0.966049,
b100_dp8_ep8,B=100 (DP&EP),100,other,Other,2112,2.729536,0.300124,
