family,useful_launches,useful_residency_ms,useful_share,cleanup_launches,cleanup_residency_ms,cleanup_share
attention_projection,5480,31.222911,0.337260646,5480,31.261508,0.378916687
nccl_sync,1264,19.603023,0.211746054,1264,9.251296,0.11213376
memory_elementwise,4480,10.235706,0.110563067,4442,10.134783,0.122842391
norm_rope_quant,2992,6.583108,0.071108785,2992,6.587103,0.079841422
attention_mla,1248,6.366428,0.068768271,1248,6.376339,0.077286779
moe_routing,1200,5.202566,0.056196578,1200,5.201412,0.063045641
moe_up_gemm,600,5.049057,0.05453842,600,5.046432,0.061167148
moe_down_gemm,600,4.1206,0.044509502,600,4.140127,0.050181943
attention_indexer,504,3.637268,0.039288693,504,3.586013,0.043465599
other,344,0.557318,0.006019984,400,0.917313,0.011118632
