evidence_class,metric,value,unit,scope
production_core,main_kernel_duration,102.464,us,one selected production main-kernel replay
production_core,dram_read,145.12384,Mbyte,one selected production main-kernel replay
production_core,dram_write,13.948672,Mbyte,one selected production main-kernel replay
production_core,actual_dram_read_rate,1.41634,Tbyte/s,decimal rate derived from NCU bytes and duration
production_core,eligible_warps_per_scheduler,0.370136,warp,one selected production main-kernel replay
locality_control,hotset_main_kernel_duration,79.584,us,one selected production main-kernel replay
locality_control,duration_reduction,22.3298,percent,ordered unique to one-record hot set
locality_control,dram_read_reduction,94.5993,percent,ordered unique to one-record hot set
sampled_trace,repeat_1_median_overhead,3.124997,percent,CTA plus WG2 low-overhead trace
sampled_trace,repeat_2_median_overhead,2.367542,percent,CTA plus WG2 low-overhead trace
sampled_trace,repeat_3_median_overhead,3.275949,percent,CTA plus WG2 low-overhead trace
sampled_trace,repeat_1_grid_makespan,100.704,us,CTA_ENTER to CTA_EXIT envelope
sampled_trace,repeat_2_grid_makespan,101.056,us,CTA_ENTER to CTA_EXIT envelope
sampled_trace,repeat_3_grid_makespan,101.344,us,CTA_ENTER to CTA_EXIT envelope
sampled_trace,pooled_wg2_service_p50,5415,cycles,9600 tile records
sampled_trace,pooled_wg2_service_p90,6319,cycles,9600 tile records
sampled_trace,pooled_wg2_service_p99,9424.08,cycles,9600 tile records
detailed_trace,all_three_lanes_active,86.4847,percent,busiest 29-tile CTA; perturbed normalized trace
detailed_trace,two_lanes_active,9.92585,percent,busiest 29-tile CTA; perturbed normalized trace
detailed_trace,lane_overlap_factor,2.88094,ratio,busiest 29-tile CTA; perturbed normalized trace
pc_sampling,barrier_samples,35.5532,percent,21-replay directional section capture
pc_sampling,long_scoreboard_samples,33.4329,percent,21-replay directional section capture
pm_sampling,barrier_stall_weight,41.0916,percent,separate PM replay groups
pm_sampling,long_scoreboard_stall_weight,36.8372,percent,separate PM replay groups
