elapsed_seconds,sampled_at_utc,dp_rank,running_requests,scrape_group
2.184461248,2026-08-24T07:38:41.199Z,4,0,decode-pod-2
2.184461248,2026-08-24T07:38:41.199Z,5,0,decode-pod-2
2.184461248,2026-08-24T07:38:41.199Z,6,0,decode-pod-2
2.184461248,2026-08-24T07:38:41.199Z,7,1,decode-pod-2
3.124461248,2026-08-24T07:38:42.139Z,0,0,decode-pod-1
3.124461248,2026-08-24T07:38:42.139Z,1,0,decode-pod-1
3.124461248,2026-08-24T07:38:42.139Z,2,0,decode-pod-1
3.124461248,2026-08-24T07:38:42.139Z,3,0,decode-pod-1
7.184461248,2026-08-24T07:38:46.199Z,4,1,decode-pod-2
7.184461248,2026-08-24T07:38:46.199Z,5,2,decode-pod-2
7.184461248,2026-08-24T07:38:46.199Z,6,1,decode-pod-2
7.184461248,2026-08-24T07:38:46.199Z,7,1,decode-pod-2
8.124461248,2026-08-24T07:38:47.139Z,0,2,decode-pod-1
8.124461248,2026-08-24T07:38:47.139Z,1,0,decode-pod-1
8.124461248,2026-08-24T07:38:47.139Z,2,1,decode-pod-1
8.124461248,2026-08-24T07:38:47.139Z,3,1,decode-pod-1
12.184461248,2026-08-24T07:38:51.199Z,4,3,decode-pod-2
12.184461248,2026-08-24T07:38:51.199Z,5,3,decode-pod-2
12.184461248,2026-08-24T07:38:51.199Z,6,4,decode-pod-2
12.184461248,2026-08-24T07:38:51.199Z,7,2,decode-pod-2
13.124461248,2026-08-24T07:38:52.139Z,0,2,decode-pod-1
13.124461248,2026-08-24T07:38:52.139Z,1,3,decode-pod-1
13.124461248,2026-08-24T07:38:52.139Z,2,3,decode-pod-1
13.124461248,2026-08-24T07:38:52.139Z,3,2,decode-pod-1
17.184461248,2026-08-24T07:38:56.199Z,4,2,decode-pod-2
17.184461248,2026-08-24T07:38:56.199Z,5,3,decode-pod-2
17.184461248,2026-08-24T07:38:56.199Z,6,3,decode-pod-2
17.184461248,2026-08-24T07:38:56.199Z,7,2,decode-pod-2
18.124461248,2026-08-24T07:38:57.139Z,0,2,decode-pod-1
18.124461248,2026-08-24T07:38:57.139Z,1,3,decode-pod-1
18.124461248,2026-08-24T07:38:57.139Z,2,3,decode-pod-1
18.124461248,2026-08-24T07:38:57.139Z,3,2,decode-pod-1
22.184461248,2026-08-24T07:39:01.199Z,4,2,decode-pod-2
22.184461248,2026-08-24T07:39:01.199Z,5,4,decode-pod-2
22.184461248,2026-08-24T07:39:01.199Z,6,3,decode-pod-2
22.184461248,2026-08-24T07:39:01.199Z,7,2,decode-pod-2
23.124461248,2026-08-24T07:39:02.139Z,0,2,decode-pod-1
23.124461248,2026-08-24T07:39:02.139Z,1,1,decode-pod-1
23.124461248,2026-08-24T07:39:02.139Z,2,4,decode-pod-1
