elapsed_seconds,client_in_flight,client_visible_post_ttft_streams_open
0.000000000,1,0
0.001445193,2,0
0.003154837,3,0
0.004415870,4,0
0.006454284,5,0
0.008446297,6,0
0.011482446,7,0
0.013072473,8,0
0.014474499,9,0
0.024886634,10,0
0.027168058,11,0
0.029879148,12,0
0.033242659,13,0
0.034397963,14,0
0.035486131,15,0
0.044388528,16,0
0.046661087,17,0
0.047783591,18,0
0.062195210,19,0
0.067452110,20,0
0.068716790,21,0
0.071813100,22,0
0.081950865,23,0
0.085188935,24,0
0.090243722,25,0
0.103529893,26,0
0.106537305,27,0
0.108961898,28,0
0.114004269,29,0
0.126496450,30,0
0.127715147,31,0
0.138154386,32,0
0.147429586,33,0
0.149461120,34,0
0.150415430,35,0
0.163443999,36,0
0.168698883,37,0
0.177796290,38,0
0.178973930,39,0
0.183094918,40,0
0.184452047,41,0
0.194211634,42,0
0.195594812,43,0
0.200880192,44,0
0.217781940,45,0
0.230747597,46,0
0.231562130,47,0
0.233264254,48,0
0.238208928,49,0
0.247271294,50,0
0.248266949,51,0
0.254859474,52,0
0.255941657,53,0
0.256840031,54,0
0.265552859,55,0
0.278391475,56,0
0.281529961,57,0
0.283934649,58,0
0.296892050,59,0
0.298170171,60,0
0.308558530,61,0
0.317645952,62,0
0.320396595,63,0
0.337025381,64,0
0.338980818,65,0
0.340605757,66,0
0.341688773,67,0
0.344716089,68,0
0.358485592,69,0
0.367353589,70,0
0.368421884,71,0
0.369320194,72,0
0.372917563,73,0
0.375609997,74,0
0.377437850,75,0
0.398105127,76,0
0.400700601,77,0
0.401852577,78,0
0.403029961,79,0
0.403871663,80,0
0.404942966,81,0
0.410577853,82,0
0.419621307,83,0
0.423382069,84,0
0.432791381,85,0
0.443960033,86,0
0.445804014,87,0
0.447625083,88,0
0.456991451,89,0
0.459067657,90,0
0.460173457,91,0
0.469358032,92,0
0.479107282,93,0
0.484070868,94,0
0.485977825,95,0
0.487407691,96,0
0.496877356,97,0
0.497819570,98,0
0.498812889,99,0
0.503795163,100,0
0.596143508,100,1
1.670187795,99,0
1.670390421,100,0
1.923702012,100,1
2.231477113,100,2
2.564998630,100,3
3.020934906,100,4
3.174061012,100,5
3.174310677,99,4
3.174477046,100,4
3.318273072,100,5
3.318296688,100,6
3.335101539,100,7
3.361914971,99,6
3.362006235,100,6
3.577796002,99,5
3.577880034,100,5
3.895674372,100,6
3.896254152,99,5
3.896371977,100,5
3.962450925,100,6
3.962599662,100,7
4.813492053,100,8
5.220504569,99,7
5.220615546,100,7
5.236074724,100,8
5.793412719,99,7
5.793511759,100,7
5.866247682,100,8
5.866321666,100,9
6.084021366,99,8
6.084091350,100,8
6.668682844,100,9
6.744715173,100,10
6.745230888,99,9
6.745351209,100,9
7.683799239,100,10
7.683845768,100,11
7.835847321,100,12
7.835973050,100,13
8.047905222,99,12
8.048068135,100,12
8.287856114,100,13
8.769917657,100,14
8.769952057,100,15
9.997053617,100,16
10.157614909,100,17
10.157761822,100,18
10.632264721,100,19
11.389904281,100,20
11.389991673,100,21
11.924030308,99,20
11.924349958,100,20
12.446917219,100,21
12.447059460,100,22
12.805485148,100,23
12.805540444,100,24
12.805702141,100,25
12.986578549,99,24
12.986686581,100,24
13.050794029,99,23
13.050915597,100,23
13.699225096,99,22
13.699550122,100,22
14.113482974,99,21
14.113631327,100,21
14.145269368,99,20
14.145385145,100,20
17.690793437,100,21
17.710692389,99,20
17.710848998,100,20
17.743571687,100,21
17.744068330,99,20
17.744129418,100,20
17.777990866,100,21
17.778313173,99,20
17.778379701,100,20
17.795422410,99,19
17.795588363,100,19
17.878743205,100,20
17.879916813,99,19
17.879973997,100,19
18.010780397,99,18
18.010874382,100,18
18.422896181,100,19
18.442087001,100,20
18.461464381,99,19
18.461540702,100,19
18.641547567,100,20
18.872974241,100,21
19.116594150,100,22
19.117609901,99,21
19.117695630,100,21
19.408506358,99,20
19.408643031,100,20
19.538198479,99,19
19.538280815,100,19
20.214774603,99,18
20.214860427,100,18
20.343100410,99,17
20.343220699,100,17
21.157387141,100,18
21.537085295,99,17
21.537278320,100,17
21.621597298,100,18
22.080974301,100,19
22.397134228,100,20
22.398896640,99,19
22.398984352,100,19
22.707104224,100,20
22.707171744,100,21
22.744863682,100,22
23.326804086,99,21
23.326954775,100,21
24.089564480,99,20
24.089794433,100,20
24.110619568,99,19
24.110679409,100,19
24.142339881,99,18
24.142408714,100,18
24.241026638,99,17
24.241165359,100,17
27.580881906,99,16
27.581167636,100,16
27.660925846,100,17
28.577308989,100,18
28.578606630,100,19
28.589279951,100,20
28.789252585,100,21
29.532993073,99,20
29.533521845,100,20
30.036535787,100,21
30.036672172,100,22
30.036704332,100,23
30.178173846,100,24
30.527521167,100,25
31.694302154,99,24
31.694486827,100,24
32.423273997,99,23
32.423537870,100,23
32.496799140,100,24
32.621437914,100,25
32.767816997,100,26
33.086609070,100,27
33.086705710,100,28
33.387985023,99,27
33.388266144,100,27
33.980832477,100,28
33.981174559,99,27
33.981252223,100,27
34.071356041,100,28
34.966264957,99,27
34.966499678,100,27
35.739826833,99,26
35.739928786,100,26
35.950437844,99,25
35.950694678,100,25
36.404719901,99,24
36.404787485,100,24
38.103879863,99,23
38.104251129,100,23
38.780860789,100,24
41.135885469,99,23
41.136067871,100,23
41.263394727,100,24
41.282403497,100,25
41.494015891,99,24
41.494167924,100,24
41.564474038,99,23
41.564623127,100,23
41.670696622,99,22
41.670817935,100,22
42.188905260,99,21
42.189149774,100,21
42.390627315,100,22
42.427585584,99,21
42.427641008,100,21
42.835110104,99,20
42.835414266,100,20
42.837069478,99,19
42.837119238,100,19
43.630402241,99,18
43.630643331,100,18
44.016403510,100,19
44.016482839,100,20
44.470847168,100,21
44.511458294,100,22
44.658536422,100,23
45.325930819,100,24
45.779803240,99,23
45.779911241,100,23
46.050527239,100,24
46.050616872,100,25
46.217008124,100,26
46.307763882,100,27
46.309794872,99,26
46.309878264,100,26
48.781032092,99,25
48.781488159,100,25
49.573333361,100,26
49.573531154,100,27
49.735925355,99,26
49.736135148,100,26
50.860946311,99,25
50.861087976,100,25
50.997352110,100,26
50.998915353,99,25
50.998988377,100,25
52.011417010,99,24
52.011512019,100,24
52.880335124,99,23
52.880618326,100,23
54.125690345,99,22
54.125850922,100,22
54.157239777,99,21
54.157411106,100,21
54.331317322,99,20
54.331399850,100,20
54.899300029,100,21
54.952043783,100,22
55.028111856,99,21
55.028565043,100,21
55.112473138,100,22
55.328635547,100,23
55.328671771,100,24
56.323081497,100,25
