ordinal,prompt_tokens,cached_tokens,uncached_prompt_tokens,completion_tokens,source_output_token_limit,finish_reason,client_ttft_ms,client_decode_interval_ms,client_tpot_ms,client_total_ms,output_delta_events,cache_hit_ratio,response_id_consistent,record_valid,cancellation_reason
1,10289,0,10289,2231,128000,stop,"1,910.534786","27,606.899045",12.379775,"29,519.825783",878,0.000000000,true,true,
2,21,0,21,166,128000,stop,583.867552,"1,051.163459",6.370688,"1,657.911583",48,0.000000000,true,true,
3,2260,0,2260,157,128000,tool_calls,"3,162.463493",0.000000,0.000000,"3,162.713190",1,0.000000000,true,true,
4,13263,0,13263,5153,128000,stop,"2,219.315430","73,653.201423",14.296041,"75,873.996127",2166,0.000000000,true,true,
5,37558,2816,34742,3820,128000,stop,"3,953.330735","51,063.143986",13.370815,"55,018.842673",1536,0.074977368,true,true,
6,13307,0,13307,90,128000,tool_calls,"3,321.460934",0.000000,0.000000,"3,348.274174",1,0.000000000,true,true,
7,22385,0,22385,52,80000,tool_calls,"3,005.842771",529.039401,10.373322,"3,562.703611",13,0.000000000,true,true,
8,9680,832,8848,2611,128000,stop,"2,539.991707","30,821.873105",11.809147,"33,362.978004",970,0.085950413,true,true,
9,14074,0,14074,3052,128000,stop,"3,291.024758","34,784.808577",11.401117,"38,076.608029",1077,0.000000000,true,true,
10,180112,6592,173520,123,80000,tool_calls,"17,848.327765",0.000000,0.000000,"17,849.501181",1,0.036599449,true,true,
11,38274,832,37442,3919,128000,stop,"4,779.556333","43,964.726964",11.221217,"48,747.096052",1326,0.021737994,true,true,
12,23427,0,23427,43,80000,tool_calls,"5,201.590648",527.281373,12.554318,"5,758.928451",11,0.000000000,true,true,
13,54555,5184,49371,5885,80000,tool_calls,"7,647.832433","44,325.833535",7.533282,"51,975.449980",19,0.095023371,true,true,
14,12,0,12,902,128000,stop,"3,273.154363","10,379.224876",11.519672,"13,654.106323",347,0.000000000,true,true,
15,855,832,23,134,128000,tool_calls,"3,848.911780",0.000000,0.000000,"3,849.491720",1,0.973099415,true,true,
16,52719,14272,38447,662,80000,tool_calls,"6,620.477106","7,444.141693",11.261939,"14,097.063406",229,0.270718337,true,true,
17,23559,832,22727,126,128000,tool_calls,"6,695.803574",0.000000,0.000000,"6,696.319065",1,0.035315591,true,true,
18,2859,2816,43,107,128000,tool_calls,"3,900.132706","1,257.784234",11.865889,"5,158.186126",21,0.984959776,true,true,
19,217602,5184,212418,1800,80000,tool_calls,"27,589.006794","13,902.064054",7.727662,"41,492.554506",10,0.023823310,true,true,
20,68350,5184,63166,1660,80000,tool_calls,"9,924.549409","14,112.741561",8.506776,"24,038.115200",19,0.075844916,true,true,
21,11502,0,11502,1628,128000,stop,"5,783.488235","21,679.742945",13.324980,"27,498.122363",681,0.000000000,true,true,
22,39979,14272,25707,554,80000,tool_calls,"8,201.900165","4,762.669945",8.612423,"12,964.837760",30,0.356987418,true,true,
23,56211,47744,8467,662,80000,tool_calls,"10,067.408083","7,586.149291",11.476777,"17,705.068255",228,0.849371120,true,true,
24,22467,22336,131,39,80000,tool_calls,"7,580.212738",363.446394,9.564379,"7,944.271872",7,0.994169226,true,true,
25,54161,14272,39889,5889,80000,tool_calls,"11,282.797148","42,939.110017",7.292648,"54,224.210029",13,0.263510644,true,true,
26,2820,0,2820,13,128000,stop,"5,756.786964",195.756478,16.313040,"5,974.486504",7,0.000000000,true,true,
27,29811,23424,6387,296,80000,tool_calls,"7,721.312585","4,086.263422",13.851740,"11,809.369619",124,0.785750226,true,true,
28,31259,5184,26075,1095,80000,tool_calls,"8,643.303030","9,238.128514",8.444359,"17,884.165770",111,0.165840238,true,true,
29,68028,14272,53756,2399,80000,tool_calls,"12,319.107704","23,955.535786",9.989798,"36,276.910386",22,0.209795966,true,true,
30,205369,96128,109241,7182,80000,tool_calls,"41,143.672499","61,906.733067",8.620907,"103,053.525683",12,0.468074539,true,true,
31,2776,0,2776,414,128000,stop,"7,688.310631","6,276.121819",15.196421,"13,965.946220",197,0.000000000,true,true,
32,182745,146432,36313,1065,80000,tool_calls,"28,429.045542","12,556.964693",11.801659,"40,986.324189",332,0.801291417,true,true,
33,59224,48384,10840,662,80000,tool_calls,"12,654.602450","7,502.234252",11.349825,"20,192.161904",221,0.816966095,true,true,
34,24784,2816,21968,141,128000,tool_calls,"10,468.703569","2,354.010690",16.814362,"12,823.017205",50,0.113621691,true,true,
35,22,0,22,2017,128000,stop,"8,601.147477","23,652.093707",11.732189,"32,254.469385",724,0.000000000,true,true,
36,216557,14336,202221,4543,80000,tool_calls,"38,602.520143","53,234.342926",11.720463,"91,841.100122",1442,0.066199661,true,true,
37,51160,14272,36888,138,80000,tool_calls,"17,511.736435","1,814.440944",13.244094,"19,359.141413",20,0.278967944,true,true,
38,61202,49088,12114,8896,80000,tool_calls,"18,458.351432","76,336.736386",8.581983,"94,798.262720",233,0.802065292,true,true,
39,326,0,326,895,128000,stop,"9,972.582218","9,250.686968",10.347525,"19,223.473635",286,0.000000000,true,true,
40,103974,0,103974,4717,128000,stop,"20,963.057138","66,603.969283",14.122979,"87,570.708623",1870,0.000000000,true,true,
41,4977,0,4977,357,128000,stop,"11,194.304317","6,319.062369",17.750175,"17,515.004809",196,0.000000000,true,true,
42,179675,148352,31323,991,80000,tool_calls,"45,848.890306","12,563.545219",12.690450,"58,415.528986",323,0.825668568,true,true,
43,4256,0,4256,653,128000,stop,"12,229.170160","9,088.551681",13.939496,"21,319.195803",274,0.000000000,true,true,
44,51323,14272,37051,138,80000,tool_calls,"18,223.243550","1,740.065522",12.701208,"19,995.930960",20,0.278081952,true,true,
45,229989,4224,225765,3898,80000,tool_calls,"54,720.403668","36,553.485976",9.379904,"91,276.824160",7,0.018366096,true,true,
46,221133,96128,125005,185,80000,tool_calls,"50,759.046510",0.000000,0.000000,"50,760.609913",1,0.434706715,true,true,
47,862,0,862,884,128000,stop,"12,558.323582","11,435.046447",12.950222,"23,993.647823",352,0.000000000,true,true,
48,21364,832,20532,123,128000,tool_calls,"18,175.014803",0.000000,0.000000,"18,213.582491",1,0.038944018,true,true,
49,70731,5184,65547,3446,80000,tool_calls,"29,787.768899","31,507.899245",9.145979,"61,298.057920",423,0.073291767,true,true,
50,61902,49088,12814,56,80000,tool_calls,"22,142.172130",0.000000,0.000000,"22,143.934542",1,0.792995380,true,true,
51,1213,0,1213,688,128000,stop,"12,549.461602","11,284.061828",16.425126,"23,833.540966",346,0.000000000,true,true,
