elapsed_seconds,successful_output_tokens_per_second,window_successful_output_tokens,window_successful_requests,window_seconds,cumulative_successful_output_tokens,cumulative_successful_requests
0.0,0.0,0,0,0.0,0,0
1.0,0.0,0,0,1.0,0,0
2.0,83.0,166,1,2.0,166,1
3.0,55.333333333333336,166,1,3.0,166,1
4.0,149.75,599,5,4.0,599,5
5.0,119.8,599,5,5.0,599,5
6.0,124.83333333333333,749,7,6.0,749,7
7.0,126.85714285714286,888,9,7.0,888,9
8.0,111.0,888,9,8.0,888,9
9.0,103.0,927,10,9.0,927,10
10.0,92.7,927,10,10.0,927,10
11.0,84.27272727272727,927,10,11.0,927,10
12.0,101.91666666666667,1223,11,12.0,1223,11
13.0,104.92307692307692,1364,12,13.0,1364,12
14.0,201.42857142857142,2820,14,14.0,2820,14
15.0,259.73333333333335,3896,16,15.0,3896,16
16.0,243.5,3896,16,16.0,3896,16
17.0,229.1764705882353,3896,16,17.0,3896,16
18.0,288.1666666666667,5187,21,18.0,5187,21
19.0,337.10526315789474,6405,23,19.0,6405,23
20.0,374.4,7488,26,20.0,7488,26
21.0,394.6666666666667,8288,28,21.0,8288,28
22.0,406.40909090909093,8941,29,22.0,8941,29
23.0,391.17391304347825,8997,30,23.0,8997,30
24.0,377.0416666666667,9049,31,24.0,9049,31
25.0,496.32,12408,35,25.0,12408,35
26.0,477.2307692307692,12408,35,26.0,12408,35
27.0,459.55555555555554,12408,35,27.0,12408,35
28.0,501.2857142857143,14036,36,28.0,14036,36
29.0,484.0,14036,36,29.0,14036,36
30.0,542.2333333333333,16267,37,30,16267,37
31.0,542.2333333333333,16267,37,30,16267,37
32.0,544.9333333333333,16348,37,30,16514,38
33.0,612.1666666666666,18365,38,30,18531,39
34.0,686.7,20601,36,30,21200,41
35.0,719.8,21594,37,30,22193,42
36.0,737.3,22119,37,30,22868,44
37.0,812.6333333333333,24379,36,30,25267,45
38.0,812.6333333333333,24379,36,30,25267,45
39.0,913.0666666666667,27392,36,30,28319,46
40.0,913.0666666666667,27392,36,30,28319,46
41.0,913.0666666666667,27392,36,30,28319,46
42.0,1042.7,31281,39,30,32504,50
43.0,1176.5666666666666,35297,42,30,36661,54
44.0,1179.9666666666667,35399,41,30,38219,55
45.0,1144.1,34323,39,30,38219,55
46.0,1147.2,34416,40,30,38312,56
47.0,1147.6333333333334,34429,41,30,38325,57
48.0,1104.6,33138,36,30,38325,57
49.0,1194.6333333333334,35839,35,30,42244,58
50.0,1209.5,36285,33,30,43773,59
51.0,1207.3,36219,33,30,44507,61
52.0,1185.5333333333333,35566,32,30,44507,61
53.0,1438.5666666666666,43157,33,30,52154,63
54.0,1436.8333333333333,43105,32,30,52154,63
55.0,1571.4333333333334,47143,31,30,59551,66
56.0,1698.7666666666667,50963,32,30,63371,67
57.0,1700.6,51018,33,30,63426,68
58.0,1683.0666666666666,50492,33,30,64528,69
59.0,1738.1666666666667,52145,35,30,66181,71
60.0,1670.2333333333333,50107,38,30,66374,75
61.0,1670.2333333333333,50107,38,30,66374,75
62.0,1776.8666666666666,53306,38,30,69820,76
63.0,1739.9666666666667,52199,38,30,70730,77
64.0,1706.9333333333334,51208,38,30,72408,79
65.0,1695.9,50877,38,30,73070,80
66.0,1803.0,54090,39,30,76958,83
67.0,1726.7666666666667,51803,39,30,77070,84
68.0,1842.0,55260,41,30,80527,86
69.0,1780.1666666666667,53405,41,30,81724,87
70.0,1868.2333333333333,56047,43,30,84366,89
71.0,1868.2333333333333,56047,43,30,84366,89
72.0,1735.5,52065,41,30,84569,91
73.0,1675.3666666666666,50261,40,30,86922,94
74.0,1623.4333333333334,48703,39,30,86922,94
75.0,1670.5333333333333,50116,44,30,88335,99
76.0,1843.8,55314,46,30,93626,102
77.0,1986.2,59586,50,30,97911,107
78.0,1989.5333333333333,59686,51,30,98011,108
79.0,1919.2333333333333,57577,53,30,99821,111
80.0,2076.0333333333333,62281,58,30,106054,117
81.0,2155.1,64653,60,30,109160,121
82.0,2177.6666666666665,65330,61,30,109837,122
83.0,2047.6666666666667,61430,66,30,113584,129
84.0,2064.4666666666667,61934,68,30,114088,131
85.0,1832.4,54972,68,30,114523,134
86.0,1731.0666666666666,51932,69,30,115303,136
87.0,1737.5666666666666,52127,71,30,115553,139
88.0,1905.3,57159,73,30,121687,142
89.0,1855.6666666666667,55670,72,30,121851,143
90.0,1868.2333333333333,56047,69,30,122421,144
91.0,2017.3,60519,73,30,126893,148
92.0,2148.4,64452,80,30,134272,156
93.0,2371.7,71151,83,30,141881,160
94.0,2397.1666666666665,71915,86,30,144323,165
95.0,2693.0,80790,90,30,153860,170
96.0,2744.6,82338,94,30,159296,177
97.0,2890.4333333333334,86713,99,30,163783,183
98.0,2850.3,85509,101,30,166036,187
99.0,2810.4,84312,100,30,166036,187
100.0,2828.5333333333333,84856,101,30,169222,190
101.0,3131.4,93942,105,30,178308,194
102.0,3192.633333333333,95779,104,30,180348,195
103.0,3260.766666666667,97823,105,30,184745,199
104.0,3526.9333333333334,105808,108,30,192730,202
105.0,3543.633333333333,106309,106,30,194644,205
106.0,3390.0666666666666,101702,107,30,195328,209
107.0,3247.233333333333,97417,102,30,195328,209
108.0,3395.3333333333335,101860,105,30,199871,213
109.0,3472.1,104163,106,30,203984,217
110.0,3587.233333333333,107617,104,30,213671,221
111.0,3577.3333333333335,107320,103,30,216480,224
112.0,3554.766666666667,106643,102,30,216480,224
113.0,3518.8,105564,97,30,219148,226
114.0,3653.866666666667,109616,97,30,223704,228
115.0,3733.4666666666667,112004,98,30,226527,232
116.0,3745.766666666667,112373,98,30,227676,234
