ordinal,prompt_tokens,cached_tokens,uncached_prompt_tokens,completion_tokens,finish_reason,client_ttft_ms,client_decode_interval_ms,client_tpot_ms,client_total_ms,output_delta_events,cache_hit_ratio,response_id_consistent
1,10289,0,10289,128,length,"2,767.614539","1,667.996341",13.133829,"4,436.212004",63,0.000000000,true
2,21,0,21,128,length,"1,724.973036",813.238710,6.403454,"2,579.192711",34,0.000000000,true
3,2260,0,2260,128,length,"2,991.308042",0.000000,0.000000,"2,991.316362",1,0.000000000,true
4,13263,0,13263,128,length,"2,305.244769","1,721.506836",13.555172,"4,027.206648",67,0.000000000,true
5,37558,2816,34742,128,length,"3,929.060187","1,811.644824",14.264920,"5,741.355288",70,0.074977368,true
6,13307,0,13307,128,length,"3,592.758326",544.668374,4.288727,"4,137.683566",19,0.000000000,true
7,22385,0,22385,128,length,"5,672.583276","1,014.624886",7.989172,"6,688.013096",30,0.000000000,true
8,9680,832,8848,128,length,"2,935.336921","1,572.247657",12.379903,"4,508.113638",58,0.085950413,true
9,14074,0,14074,128,length,"3,242.188267","1,520.959450",11.976059,"4,763.725162",57,0.000000000,true
10,180112,6592,173520,128,length,"17,572.179551","1,413.399897",11.129133,"18,985.599384",52,0.036599449,true
11,38274,832,37442,128,length,"5,215.622953","1,653.715247",13.021380,"6,870.084509",65,0.021737994,true
12,23427,0,23427,128,length,"4,370.116396","1,166.987927",9.188881,"5,537.924233",34,0.000000000,true
13,54555,5184,49371,128,length,"7,480.918444","1,209.348679",9.522431,"8,690.273843",19,0.095023371,true
14,12,0,12,128,length,"3,225.277043","1,392.396067",10.963749,"4,617.986392",52,0.000000000,true
15,855,832,23,128,length,"4,510.693912",0.000000,0.000000,"4,510.699896",1,0.973099415,true
16,52719,14272,38447,128,length,"8,816.906204","1,304.673776",10.273022,"10,122.635603",50,0.270718337,true
17,23559,832,22727,128,length,"7,185.440588",0.000000,0.000000,"7,185.445932",1,0.035315591,true
18,2859,2816,43,128,length,"4,338.046470","1,421.259762",11.191022,"5,759.312760",32,0.984959776,true
19,217602,5184,212418,128,length,"32,391.684062","1,131.366104",8.908395,"33,523.057718",25,0.023823310,true
20,68350,5184,63166,128,length,"13,608.872656","1,099.599573",8.658264,"14,708.478917",19,0.075844916,true
21,11502,0,11502,128,length,"6,267.088742","1,342.954273",10.574443,"7,610.501131",54,0.000000000,true
22,39979,14272,25707,128,length,"7,998.422976","1,512.550622",11.909847,"9,510.980510",31,0.356987418,true
23,56211,47744,8467,128,length,"10,524.899566","1,375.595211",10.831458,"11,901.815363",52,0.849371120,true
24,22467,22336,131,128,length,"7,456.282140","1,731.962942",13.637503,"9,189.025376",49,0.994169226,true
25,54161,14272,39889,128,length,"10,337.175665","1,115.022788",8.779707,"11,452.204277",13,0.263510644,true
26,2820,0,2820,128,length,"6,434.522419","1,819.312143",14.325292,"8,253.852482",72,0.000000000,true
27,29811,23424,6387,128,length,"8,922.050572","1,574.953083",12.401205,"10,497.675500",61,0.785750226,true
28,31259,5184,26075,128,length,"9,467.318278","1,220.290292",9.608585,"10,687.614362",27,0.165840238,true
29,68028,14272,53756,128,length,"11,698.831895","1,226.794499",9.659799,"12,925.633050",22,0.209795966,true
30,205369,14336,191033,128,length,"38,109.560461","1,205.835021",9.494764,"39,315.401626",12,0.069806056,true
31,2776,0,2776,128,length,"7,949.046623","1,546.618866",12.178101,"9,536.658902",59,0.000000000,true
32,182745,9280,173465,128,length,"26,480.756074","1,272.003302",10.015774,"27,754.036729",47,0.050781143,true
33,59224,48384,10840,128,length,"18,444.362746","1,491.508775",11.744164,"19,936.694023",53,0.816966095,true
34,24784,2816,21968,128,length,"12,185.013036","1,640.952083",12.920883,"13,826.986503",31,0.113621691,true
35,22,0,22,128,length,"9,424.158737","1,639.344457",12.908224,"11,063.521690",62,0.000000000,true
36,216557,174144,42413,128,length,"43,473.503034",731.591534,5.760563,"44,205.100104",2,0.804148561,true
37,51160,14272,36888,128,length,"18,246.484564","1,438.116585",11.323753,"19,684.607933",20,0.278967944,true
38,61202,48384,12818,128,length,"18,730.777146","1,418.261467",11.167413,"20,149.543065",51,0.790562400,true
39,326,0,326,128,length,"10,442.109855","1,583.303960",12.466960,"12,025.857370",60,0.000000000,true
40,103974,0,103974,128,length,"22,069.892187","1,784.571190",14.051742,"23,855.347544",71,0.000000000,true
41,4977,0,4977,128,length,"10,597.763095","1,753.038070",13.803449,"12,351.278928",67,0.000000000,true
42,179675,148352,31323,128,length,"39,232.712011","1,410.778886",11.108495,"40,643.513681",51,0.825668568,true
43,4256,0,4256,128,length,"12,129.416862","1,542.805398",12.148074,"13,672.631287",61,0.000000000,true
44,51323,14272,37051,128,length,"19,768.508021","1,426.142132",11.229466,"21,194.659433",20,0.278081952,true
45,229989,4224,225765,128,length,"50,732.806965",0.000000,0.000000,"50,732.815093",1,0.018366096,true
46,221133,216512,4621,128,length,"57,065.313647",0.000000,0.000000,"57,065.319183",1,0.979103074,true
47,862,0,862,128,length,"13,452.534610","1,582.673427",12.461995,"15,035.681288",67,0.000000000,true
48,21364,832,20532,128,length,"20,133.508071",0.000000,0.000000,"20,133.513767",1,0.038944018,true
49,70731,5184,65547,128,length,"33,465.428186","1,490.699329",11.737790,"34,956.487774",54,0.073291767,true
50,61902,49792,12110,128,length,"26,698.492255","1,364.382586",10.743170,"28,063.884129",49,0.804368195,true
51,1213,0,1213,128,length,"17,533.968461","1,792.391055",14.113315,"19,326.797119",65,0.000000000,true
52,136956,4352,132604,128,length,"54,472.131747","1,727.790145",13.604647,"56,199.927908",40,0.031776629,true
53,1246,1152,94,128,length,"19,706.835804",0.000000,0.000000,"19,706.841916",1,0.924558587,true
54,1222,1152,70,128,length,"19,708.672873",456.542784,3.594825,"20,165.221577",2,0.942716858,true
55,113519,14272,99247,128,length,"41,229.808752","1,386.839867",10.919999,"42,617.934740",52,0.125723447,true
56,38635,29760,8875,128,length,"22,202.499630","1,419.970344",11.180869,"23,623.436413",56,0.770286010,true
57,29147,512,28635,128,length,"22,661.330847","1,300.205200",10.237836,"23,962.474133",33,0.017566130,true
58,31538,1152,30386,128,length,"27,416.972143","1,140.971517",8.984028,"28,559.183797",52,0.036527364,true
59,225829,216512,9317,128,length,"55,946.913011","1,572.880462",12.384886,"57,519.798593",31,0.958743120,true
60,1203,1152,51,128,length,"20,072.868245",821.451633,6.468123,"20,894.759146",35,0.957605985,true
61,190643,150528,40115,128,length,"55,689.398498","1,534.475067",12.082481,"57,223.890717",49,0.789580525,true
62,59886,50432,9454,128,length,"41,577.908810","1,349.780402",10.628192,"42,929.054566",51,0.842133387,true
63,23133,22464,669,128,length,"33,542.495713","1,549.607815",12.201636,"35,092.108712",44,0.971080275,true
64,233772,224768,9004,128,length,"56,509.557066","1,219.217132",9.600135,"57,728.780151",19,0.961483839,true
65,12421,2816,9605,128,length,"33,539.545292","1,571.936134",12.377450,"35,112.065110",58,0.226712825,true
66,23958,832,23126,128,length,"38,428.356020","1,751.835661",13.793982,"40,181.042855",63,0.034727440,true
67,455,0,455,128,length,"33,370.833078","1,483.993554",11.684989,"34,855.156330",54,0.000000000,true
68,47247,832,46415,128,length,"44,126.165332","1,687.198558",13.285028,"45,814.357145",66,0.017609584,true
69,219430,217600,1830,128,length,"56,150.388322","1,309.146063",10.308237,"57,459.539889",14,0.991660211,true
70,114862,14272,100590,128,length,"51,439.419441",907.877403,7.148641,"52,348.424884",40,0.124253452,true
71,238,0,238,128,length,"33,509.603414","1,194.622653",9.406478,"34,704.609846",43,0.000000000,true
72,351,0,351,128,length,"33,540.805589","1,418.978849",11.173062,"34,960.169529",52,0.000000000,true
73,39251,38592,659,128,length,"44,116.192652","1,319.248472",10.387783,"45,435.446596",17,0.983210619,true
74,32438,31232,1206,128,length,"42,794.132448","1,172.676128",9.233670,"43,966.814112",18,0.962821382,true
75,15659,0,15659,128,length,"41,909.229738","1,806.827414",14.226988,"43,716.313474",65,0.000000000,true
76,57695,50432,7263,128,length,"44,246.969587","1,546.989524",12.181020,"45,793.979880",60,0.874113875,true
77,18490,2816,15674,128,length,"43,102.960256","1,753.448056",13.806678,"44,856.426616",65,0.152298540,true
78,3870,0,3870,128,length,"41,306.859000","1,723.187359",13.568404,"43,030.431706",65,0.000000000,true
79,180,0,180,128,length,"38,365.416370","1,340.614128",10.556017,"39,706.480102",48,0.000000000,true
80,211,0,211,128,length,"38,365.330706","1,937.128345",15.252979,"40,302.902734",69,0.000000000,true
81,5026,0,5026,128,length,"53,933.148822","1,086.686905",8.556590,"55,020.668565",34,0.000000000,true
82,70016,68288,1728,128,length,"53,555.260904","1,487.021864",11.708834,"55,042.288336",22,0.975319927,true
83,119065,114816,4249,128,length,"52,724.562006","1,161.805810",9.148077,"53,886.373736",9,0.964313610,true
84,39899,39232,667,128,length,"52,565.539397","1,595.828401",12.565578,"54,162.356157",52,0.983282789,true
85,56521,51776,4745,128,length,"52,457.569057","1,454.897314",11.455884,"53,914.544977",48,0.916048902,true
86,193487,150528,42959,128,length,"53,916.190269","1,422.642555",11.201910,"55,340.604549",50,0.777974748,true
87,13309,13248,61,128,length,"53,514.716678",453.412298,3.570176,"53,968.851317",18,0.995416635,true
88,25406,832,24574,128,length,"52,898.935476","1,676.633715",13.201840,"54,576.255852",60,0.032748170,true
89,56613,51776,4837,128,length,"53,685.933838","1,843.679069",14.517158,"55,530.980341",64,0.914560260,true
90,22979,0,22979,128,length,"53,451.440674","1,173.956105",9.243749,"54,626.099248",39,0.000000000,true
91,2374,0,2374,128,length,"53,442.864805","1,711.994608",13.480273,"55,155.702619",58,0.000000000,true
92,120892,114816,6076,128,length,"53,647.346171","1,089.741199",8.580639,"54,737.092650",14,0.949740264,true
93,59992,51776,8216,128,length,"52,698.811101","1,394.289872",10.978660,"54,094.107701",47,0.863048406,true
94,73997,70720,3277,128,length,"52,675.304245","1,661.836777",13.085329,"54,339.090668",57,0.955714421,true
95,25737,832,24905,128,length,"52,811.251521","1,691.585854",13.319574,"54,503.222946",59,0.032327000,true
96,3435,1152,2283,128,length,"52,366.392789","1,590.927342",12.526987,"53,957.862759",57,0.335371179,true
97,122936,119040,3896,128,length,"51,788.100975","1,104.096725",8.693675,"52,893.927761",30,0.968308713,true
98,1364,0,1364,128,length,"51,490.412926","1,648.334761",12.979014,"53,139.383307",61,0.000000000,true
99,10033,0,10033,128,length,"51,120.131495","1,976.103568",15.559871,"53,096.828283",74,0.000000000,true
100,72885,0,72885,128,length,"52,403.258685","1,545.296072",12.167686,"53,949.564108",27,0.000000000,true
101,23721,23104,617,128,length,"52,277.876891","1,658.443153",13.058608,"53,936.347372",53,0.973989292,true
102,4966,2816,2150,128,length,"52,953.535770",663.043012,5.220811,"53,616.585439",2,0.567055981,true
103,103995,0,103995,128,length,"53,744.390448","1,669.427488",13.145098,"55,414.704758",57,0.000000000,true
104,124427,122880,1547,128,length,"53,851.296749","1,334.101794",10.504739,"55,185.404335",28,0.987567007,true
105,33741,32384,1357,128,length,"53,151.342049","1,497.649875",11.792519,"54,648.997300",36,0.959781868,true
106,40813,39872,941,128,length,"52,825.238437","1,810.798514",14.258256,"54,636.730236",63,0.976943621,true
