rank,category,count,total_ms,avg_us,min_us,max_us,devices,short_name,full_name
1,flash_attention,14430,98638.0178,6835.621469,1892.452,8493.65,0;1;2;3,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ64Kv128PersistentKeepsAbForGen,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ64Kv128PersistentKeepsAbForGen
2,tensor_core_gemm,13875,88749.629602,6396.369701,1912.074,7636.488,0;1;2;3,bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s2x2x2x2x1x2_et128x32_m128x128x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dy...,bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s2x2x2x2x1x2_et128x32_m128x128x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f
3,tensor_core_gemm,29337,58486.52476,1993.609597,184.225,4041.478,0;1;2;3,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT
4,tensor_core_gemm,61050,46653.419773,764.18378,94.848,5871.0,0;1;2;3,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT
5,flash_attention,21146,40605.711703,1920.254975,201.473,4199.272,0;1;2,sm100_fp8_mqa_logits,"void deep_gemm::sm100_fp8_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)147, (unsigned int)128, (unsigned int)256, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
6,flash_attention,28721,34450.392248,1199.484428,42.849,2864.795,0;1;2;3,topk_transform_prefill_kernel,"<unnamed>::topk_transform_prefill_kernel(<unnamed>::FastTopKParams, int *, const int *, long, const int *, long)"
7,tensor_core_gemm,13875,22393.178813,1613.922797,495.715,1870.738,0;1;2;3,bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f,bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f
8,nccl_comm,4070,12646.464541,3107.239445,5.441,568160.251,0;1;2;3,ncclDevKernel_SendRecv,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
9,flash_attention,7575,12268.581438,1619.614711,194.88,3676.174,3,sm100_fp8_mqa_logits,"void deep_gemm::sm100_fp8_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)148, (unsigned int)128, (unsigned int)256, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
10,quant_rope_norm,14430,11770.297939,815.682463,241.761,906.185,0;1;2;3,RopeQuantizeKernel,"void flashinfer::RopeQuantizeKernel<(bool)1, (unsigned int)16, (unsigned int)1, __nv_bfloat16, long, __nv_fp8_e4m3>(T4 *, T4 *, T4 *, T4 *, T6 *, T6 *, T6 *, T6 *, float *, T5 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)"
11,elementwise_misc,35251,11646.519368,330.38834,2.016,565.733,0;1;2;3,vectorized_gather_kernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
12,tensor_core_gemm,14352,8554.580422,596.054935,214.85,665.191,0;1;2;3,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN
13,tensor_core_gemm,13875,7553.063951,544.364969,167.872,667.814,0;1;2;3,finalizeKernelVecLoad,"void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)"
14,quant_rope_norm,28860,6879.453729,238.37331,73.408,284.899,0;1;2;3,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gme_0,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gme_0
15,elementwise_misc,13875,2494.197014,179.761947,55.264,189.217,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
16,other_kernel,7770,2396.732624,308.459797,6.752,633.19,0;1;2;3,fast_hadamard_transform_kernel,"void <unnamed>::fast_hadamard_transform_kernel<<unnamed>::FastHadamardKernelTraits<(int)16, (int)7, __nv_bfloat16>>(HadamardParamsBase)"
17,quant_rope_norm,13875,1431.344995,103.16,31.36,130.657,0;1;2;3,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000o966411121_0,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000o966411121_0
18,elementwise_misc,14430,1274.488118,88.322115,24.224,496.325,0;1;2;3,act_and_mul_kernel,"void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)"
19,tensor_core_gemm,10203,846.171584,82.933606,78.976,161.729,0;1;2;3,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT
20,quant_rope_norm,14430,627.367623,43.47662,14.816,51.905,0;1;2;3,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi642048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16oi642048i64div81_0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi642048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16oi642048i64div81_0
21,moe_routing,13875,544.430318,39.238221,12.16,48.768,0;1;2;3,routingIndicesHistogramScoresKernel,"void moe::dev::routing::routingCustom::routingIndicesHistogramScoresKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess>>>(T1)"
22,tensor_core_gemm,3600,307.15043,85.319564,81.345,92.641,0;1;2;3,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT
23,quant_rope_norm,3885,285.932933,73.599211,21.888,83.969,0;1;2;3,_act_quant_kernel,_act_quant_kernel
24,tensor_core_gemm,3843,265.248319,69.02116,67.2,72.225,0;1;2;3,nvjet_sm103_tss_32x256_64x6_1x4_h_bz_TNN,nvjet_sm103_tss_32x256_64x6_1x4_h_bz_TNN
