rank,category,count,total_ms,avg_us,min_us,max_us,devices,short_name,full_name
1,flash_attention,141726,977175.363039,6894.820732,2563.128,8868.018,0;1;2;3,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ64Kv128PersistentKeepsAbForGen,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ64Kv128PersistentKeepsAbForGen
2,tensor_core_gemm,136275,875265.457992,6422.788171,2275.445,7511.205,0;1;2;3,bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s2x2x2x2x1x2_et128x32_m128x128x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dy...,bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s2x2x2x2x1x2_et128x32_m128x128x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f
3,tensor_core_gemm,288903,581151.103451,2011.578639,197.985,4267.912,0;1;2;3,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_TNT
4,flash_attention,97798,481557.768023,4924.004254,102.561,10540.993,0;1;2,sm100_fp8_mqa_logits,"void deep_gemm::sm100_fp8_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)147, (unsigned int)128, (unsigned int)256, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
5,tensor_core_gemm,599688,461830.285883,770.117604,126.561,6142.489,0;1;2;3,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_128x256_64x6_2x1_2cta_v_bz_TNT
6,flash_attention,131913,416690.156404,3158.825562,21.216,6673.469,0;1;2;3,topk_transform_prefill_kernel,"<unnamed>::topk_transform_prefill_kernel(<unnamed>::FastTopKParams, int *, const int *, long, const int *, long)"
7,nccl_comm,39974,252179.803736,6308.595681,5.632,549331.767,0;1;2;3,ncclDevKernel_SendRecv,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
8,tensor_core_gemm,136275,220628.83304,1618.997124,565.348,1818.989,0;1;2;3,bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f,bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f
9,elementwise_misc,153413,177112.179464,1154.479604,3.968,2247.38,0;1;2;3,index_elementwise_kernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
10,flash_attention,34115,149528.065558,4383.059228,35.489,8545.726,3,sm100_fp8_mqa_logits,"void deep_gemm::sm100_fp8_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)148, (unsigned int)128, (unsigned int)256, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
11,elementwise_misc,361920,130043.658209,359.316032,1.536,601.764,0;1;2;3,vectorized_gather_kernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
12,quant_rope_norm,141726,116697.61192,823.402988,326.339,933.513,0;1;2;3,RopeQuantizeKernel,"void flashinfer::RopeQuantizeKernel<(bool)1, (unsigned int)16, (unsigned int)1, __nv_bfloat16, long, __nv_fp8_e4m3>(T4 *, T4 *, T4 *, T4 *, T6 *, T6 *, T6 *, T6 *, float *, T5 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)"
13,tensor_core_gemm,141648,84757.10877,598.364317,545.956,689.095,0;1;2;3,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN
14,tensor_core_gemm,136275,74711.915325,548.243737,221.41,679.844,0;1;2;3,finalizeKernelVecLoad,"void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)"
15,quant_rope_norm,283452,68221.370014,240.680503,96.097,316.739,0;1;2;3,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gme_0,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gme_0
16,elementwise_misc,136275,24800.870581,181.991345,73.985,199.298,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
17,other_kernel,76314,23676.573557,310.252032,8.704,637.861,0;1;2;3,fast_hadamard_transform_kernel,"void <unnamed>::fast_hadamard_transform_kernel<<unnamed>::FastHadamardKernelTraits<(int)16, (int)7, __nv_bfloat16>>(HadamardParamsBase)"
18,quant_rope_norm,136275,13058.288959,95.823071,35.425,135.329,0;1;2;3,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000o966411121_0,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeTMAKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypebf16_tensor000o966411121_0
19,elementwise_misc,141726,12576.471279,88.737926,31.456,516.964,0;1;2;3,act_and_mul_kernel,"void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)"
20,tensor_core_gemm,81675,6975.713311,85.408183,80.544,94.913,0;1;2;3,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT
21,quant_rope_norm,141726,6196.035135,43.718408,18.304,52.705,0;1;2;3,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi642048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16oi642048i64div81_0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi642048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16oi642048i64div81_0
22,elementwise_misc,52125,5852.789916,112.283739,43.36,122.913,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
23,moe_routing,136275,5354.005803,39.288247,16.353,50.241,0;1;2;3,routingIndicesHistogramScoresKernel,"void moe::dev::routing::routingCustom::routingIndicesHistogramScoresKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess>>>(T1)"
24,tensor_core_gemm,54525,4469.653467,81.974387,78.208,109.761,0;1;2;3,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT
25,quant_rope_norm,38157,2828.603841,74.130666,28.768,85.825,0;1;2;3,_act_quant_kernel,_act_quant_kernel
26,tensor_core_gemm,38136,2644.383193,69.340864,66.944,72.576,0;1;2;3,nvjet_sm103_tss_32x256_64x6_1x4_h_bz_TNN,nvjet_sm103_tss_32x256_64x6_1x4_h_bz_TNN
27,quant_rope_norm,141726,1928.55105,13.607602,6.56,16.416,0;1;2;3,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi64512i64div81_tensorptrbf16gmemalign16o5121_tensorptrbf16gmemalign16oi64512i64div81____0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16oi64512i64div81_tensorptrbf16gmemalign16o5121_tensorptrbf16gmemalign16oi64512i64div81____0
28,elementwise_misc,250719,1827.332072,7.288367,0.832,44.96,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
29,quant_rope_norm,38157,1820.659576,47.714956,15.84,72.161,0;1;2;3,fused_rope_kernel,"void <unnamed>::fused_rope_kernel<(bool)0, (long)64, (bool)1, __nv_bfloat16, long, (unsigned int)8>(<unnamed>::FusedRopeParams)"
30,tensor_core_gemm,22869,1730.514577,75.670759,72.352,78.881,0;1;2;3,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT
31,moe_routing,136275,1615.532829,11.854946,7.52,13.825,0;1;2;3,routingIndicesCoopKernel,"void moe::dev::routing::routingIndicesCoopKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::NoOpPostprocess>>>(T1)"
